,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market,symbol
51,560960.SH,碳中和60指数ETF,摩根基金,交通银行,股票型,20221229,,20230113,20221212,,3.466,0.3,0.1,,1.0,0.1,,中证碳中和60指数收益率,L,被动指数型,契约型开放式,,20230113,20230113,E,560960.SH#FD
52,562320.SH,沪深300价值ETF,银华基金,中国建设银行,股票型,20221229,,20230112,20221219,,3.343,0.5,0.1,,1.0,0.1,,沪深300价值指数收益率,L,被动指数型,契约型开放式,,20230112,20230112,E,562320.SH#FD
53,159656.SZ,300成长ETF,万家基金,中国建设银行,股票型,20221228,,20230116,20221219,,8.8624,0.5,0.1,,1.0,0.1,,沪深300成长指数收益率,L,被动指数型,契约型开放式,,20230116,20230116,E,159656.SZ#FD
54,588320.SH,双创50增强ETF,广发基金,中信银行,股票型,20221228,,20230106,20221219,,2.3682,0.5,0.05,,1.0,0.1,,中证科创创业50指数收益率,L,增强指数型,契约型开放式,,20230106,20230106,E,588320.SH#FD
55,513140.SH,港股金融ETF,华泰柏瑞基金,中国农业银行,股票型,20221226,,20230112,20221212,,2.3037,0.5,0.1,,1.0,0.1,,中证香港300金融服务指数收益率(使用估值汇率折算),L,被动指数型,契约型开放式,,20230112,20230112,E,513140.SH#FD
56,159682.SZ,创业50ETF,景顺长城基金,中国农业银行,股票型,20221223,,20230103,20221212,,71.2031,0.5,0.1,,1.0,0.1,,创业板50指数收益率,L,被动指数型,契约型开放式,,20230103,20230103,E,159682.SZ#FD
57,159665.SZ,半导体龙头ETF,工银瑞信基金,招商证券,股票型,20221222,,20230106,20221123,,10.7758,0.45,0.07,,1.0,0.1,,国证半导体芯片指数收益率,L,被动指数型,契约型开放式,,20230106,20230106,E,159665.SZ#FD
58,561000.SH,300ETF增强,华安基金,招商银行,股票型,20221221,,20230111,20221201,,8.3242,0.5,0.1,,1.0,0.1,,沪深300指数收益率,L,增强指数型,契约型开放式,,20230111,20230111,E,561000.SH#FD
59,159681.SZ,创50ETF,鹏华基金,交通银行,股票型,20221221,,20230103,20221212,,41.0977,0.5,0.1,,1.0,0.1,,创业板50指数收益率,L,被动指数型,契约型开放式,,20230103,20230103,E,159681.SZ#FD
60,562010.SH,绿色能源ETF,华宝基金,兴业银行,股票型,20221216,,20230103,20221125,,4.323,0.5,0.1,,1.0,0.1,,中证绿色能源指数收益率,L,被动指数型,契约型开放式,,20230103,20230103,E,562010.SH#FD
61,180103.SZ,华夏和达高科REIT,华夏基金,兴业银行,REITs,20221216,,20221227,20221212,,5.0,0.24,0.01,42.0,1.0,0.1,,,L,,契约型封闭式,,,,E,180103.SZ#FD
62,159687.SZ,亚太低碳ETF,南方基金,招商银行,股票型,20221216,,20221230,20221209,,13.6203,0.2,0.05,,1.0,0.1,,经估值汇率调整的富时亚太低碳精选指数(FTSE Asia Pacific Low Carbon Select Index)收益率,L,被动指数型,契约型开放式,,20221230,20221230,E,159687.SZ#FD
63,588370.SH,科创50增强策略ETF,南方基金,中国银行,股票型,20221201,,20221213,20221121,,9.8577,0.5,0.1,,1.0,0.1,,上证科创板50成份指数收益率,L,增强指数型,契约型开放式,,20221213,20221213,E,588370.SH#FD
64,588460.SH,科创50增强ETF,鹏华基金,中信建投证券,股票型,20221201,,20230105,20221114,,10.5151,1.0,0.1,,1.0,0.1,,上证科创板50成份指数收益率,L,增强指数型,契约型开放式,,20230105,20230105,E,588460.SH#FD
65,561320.SH,交运ETF,国泰基金,国信证券,股票型,20221130,,20221208,20221114,,8.7937,0.5,0.1,,1.0,0.1,,中证内地运输主题指数收益率,L,被动指数型,契约型开放式,,20221208,20221208,E,561320.SH#FD
66,159675.SZ,创业板增强ETF,嘉实基金,中国建设银行,股票型,20221124,,20221202,20221114,,13.2385,0.5,0.1,,1.0,0.1,,创业板指数收益率,L,增强指数型,契约型开放式,,20221202,20221202,E,159675.SZ#FD
67,159677.SZ,1000增强ETF,银华基金,中国建设银行,股票型,20221124,,20221205,20221114,,12.509,0.5,0.1,,1.0,0.1,,中证1000指数收益率,L,增强指数型,契约型开放式,,20221205,20221205,E,159677.SZ#FD
68,159662.SZ,交运ETF,南方基金,中国建设银行,股票型,20221123,,20221201,20221114,,7.1761,0.5,0.1,,1.0,0.1,,国证交通运输行业指数收益率,L,被动指数型,契约型开放式,,20221201,20221201,E,159662.SZ#FD
69,561590.SH,中证1000增强ETF,华泰柏瑞基金,交通银行,股票型,20221123,,20221212,20221114,,2.99,0.7,0.1,,1.0,0.1,,中证1000指数收益率,L,增强指数型,契约型开放式,,20221212,20221212,E,561590.SH#FD
70,508077.SH,华夏基金华润有巢REIT,华夏基金,浦发银行,REITs,20221118,,20221209,20221114,,5.0,0.1,0.01,67.0,1.0,,,,L,,契约型封闭式,,,,E,508077.SH#FD
71,159680.SZ,1000ETF增强,招商基金,广发证券,股票型,20221118,,20221130,20221109,,14.6444,0.5,0.1,,1.0,0.1,,中证1000指数收益率,L,增强指数型,契约型开放式,,20221130,20221130,E,159680.SZ#FD
72,560980.SH,光伏30ETF,广发基金,中国民生银行,股票型,20221116,,20221129,20221107,,3.7052,0.5,0.1,,1.0,0.1,,中证光伏龙头30指数收益率,L,被动指数型,契约型开放式,,20221129,20221129,E,560980.SH#FD
73,508009.SH,中金安徽交控REIT,中金基金,招商银行,REITs,20221111,,20221122,20221107,,10.0,0.09,0.01,17.0,1.0,0.1,,,L,,契约型封闭式,,,,E,508009.SH#FD
74,561710.SH,疫苗生物ETF,博时基金,中信建投证券,股票型,20221108,,20221125,20221017,,4.016,0.5,0.1,,1.0,0.1,,中证疫苗与生物技术指数收益率,L,被动指数型,契约型开放式,,20221125,20221125,E,561710.SH#FD
75,159627.SZ,100ETF,华夏基金,江苏银行,股票型,20221108,,20221130,20220908,,5.0312,0.5,0.1,,1.0,0.1,,中证100指数收益率,L,被动指数型,契约型开放式,,20221130,20221130,E,159627.SZ#FD
76,508066.SH,华泰江苏交控REIT,华泰证券资管,中国建设银行,REITs,20221103,,20221115,20221028,,4.0,0.3,0.01,12.0,1.0,0.1,,,L,,契约型封闭式,,,,E,508066.SH#FD
77,561180.SH,A100ETF,富国基金,中国建设银行,股票型,20221103,,20221121,20220817,,24.9361,0.5,0.1,,1.0,0.1,,中证100指数收益率,L,被动指数型,契约型开放式,,20221121,20221121,E,561180.SH#FD
78,513310.SH,中韩半导体ETF,华泰柏瑞基金,中国建设银行,股票型,20221102,,20221222,20221024,,3.5443,0.8,0.15,,1.0,0.1,,中证韩交所中韩半导体指数收益率,L,被动指数型,契约型开放式,,20221222,20221222,E,513310.SH#FD
79,501222.SH,如意招享FOF,易方达基金,招商银行,混合型,20221101,,20230201,20220805,,7.4701,0.6,0.15,,1.0,0.0001,,中债新综合指数(财富)收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,,,E,501222.SH#FD
80,588350.SH,双创50ETF基金,鹏扬基金,中国农业银行,股票型,20221026,,20221110,20221011,,4.9055,0.5,0.1,,1.0,0.1,,中证科创创业50指数收益率,L,被动指数型,契约型开放式,,20221110,20221110,E,588350.SH#FD
81,159630.SZ,中证100ETF基金,汇添富基金,中国工商银行,股票型,20221020,,20221101,20220910,,10.4511,0.15,0.05,,1.0,0.1,,中证100指数收益率,L,被动指数型,契约型开放式,,20221101,20221101,E,159630.SZ#FD
82,561330.SH,矿业ETF,国泰基金,海通证券,股票型,20221019,,20221101,20220921,,5.087,0.5,0.1,,1.0,0.1,,中证有色金属矿业主题指数收益率,L,被动指数型,契约型开放式,,20221101,20221101,E,561330.SH#FD
83,560680.SH,消费ETF龙头,广发基金,华泰证券,股票型,20221019,,20221031,20220919,,2.9323,0.5,0.1,,1.0,0.1,,中证主要消费指数,L,被动指数型,契约型开放式,,20221031,20221031,E,560680.SH#FD
84,159667.SZ,工业母机ETF,国泰基金,中国邮政储蓄银行,股票型,20221012,,20221026,20220926,,12.1802,0.5,0.1,,1.0,0.1,,中证机床指数收益率,L,被动指数型,契约型开放式,,20221026,20221026,E,159667.SZ#FD
85,159663.SZ,机床ETF,华夏基金,中国光大银行,股票型,20221012,,20221026,20220923,,5.1852,0.5,0.1,,1.0,0.1,,中证机床指数收益率,L,被动指数型,契约型开放式,,20221026,20221026,E,159663.SZ#FD
86,159655.SZ,标普ETF,华夏基金,招商银行,股票型,20221012,,20221025,20220830,,2.0514,0.6,0.15,,1.0,0.1,,经估值汇率调整后的标普500指数收益率,L,被动指数型,契约型开放式,,20221025,20221025,E,159655.SZ#FD
87,588290.SH,科创芯片ETF华安,华安基金,华泰证券,股票型,20220930,,20221026,20220923,,3.614,0.5,0.1,,1.0,0.1,,上证科创板芯片指数收益率,L,被动指数型,契约型开放式,,20221026,20221026,E,588290.SH#FD
88,588160.SH,科创板新材料ETF,南方基金,中国邮政储蓄银行,股票型,20220930,,20221026,20220923,,6.91,0.5,0.1,,1.0,0.1,,上证科创板新材料指数收益率,L,被动指数型,契约型开放式,,20221026,20221026,E,588160.SH#FD
89,588200.SH,科创芯片ETF,嘉实基金,中信证券,股票型,20220930,,20221026,20220923,,3.6689,0.5,0.1,,1.0,0.1,,上证科创板芯片指数收益率,L,被动指数型,契约型开放式,,20221026,20221026,E,588200.SH#FD
90,588010.SH,科创新材料ETF,博时基金,招商银行,股票型,20220930,,20221026,20220923,,4.3293,0.5,0.1,,1.0,0.1,,上证科创板新材料指数收益率,L,被动指数型,契约型开放式,,20221026,20221026,E,588010.SH#FD
91,159658.SZ,数字经济ETF,华安基金,华泰证券,股票型,20220927,,20221012,20220913,,15.3839,0.5,0.1,,1.0,0.1,,中证数字经济主题指数收益率,L,被动指数型,契约型开放式,,20221012,20221012,E,159658.SZ#FD
92,560080.SH,中药ETF,汇添富基金,中国建设银行,股票型,20220926,,20221017,20220719,,4.3027,0.5,0.1,,1.0,0.1,,中证中药指数收益率,L,被动指数型,契约型开放式,,20221017,20221017,E,560080.SH#FD
93,508088.SH,国泰君安东久新经济REIT,国泰君安资管,中国银行,REITs,20220923,,20221014,20220920,,5.0,0.23,0.02,45.0,1.0,0.1,,,L,,契约型封闭式,,,,E,508088.SH#FD
94,508021.SH,国泰君安临港创新产业园REIT,国泰君安资管,中国银行,REITs,20220922,,20221013,20220919,,2.0,0.23,0.02,43.0,1.0,0.1,,,L,,契约型封闭式,,,,E,508021.SH#FD
95,180102.SZ,华夏合肥高新REIT,华夏基金,中国工商银行,REITs,20220920,,20221010,20220914,,7.0,0.23,0.02,38.0,1.0,0.1,,,L,,契约型封闭式,,,,E,180102.SZ#FD
96,159645.SZ,疫苗龙头ETF,富国基金,平安银行,股票型,20220916,,20220926,20220901,,10.5954,0.5,0.1,,1.0,0.1,,国证疫苗与生物科技指数,L,被动指数型,契约型开放式,,20220926,20220926,E,159645.SZ#FD
97,511580.SH,政金债5年ETF,招商基金,江苏银行,债券型,20220915,,20221214,20220829,,4.0288,0.15,0.05,,1.0,0.1,,中证政策性金融债3-5年指数收益率,L,被动指数型,契约型开放式,,20221214,20221214,E,511580.SH#FD
98,562310.SH,沪深300成长ETF,银华基金,中国建设银行,股票型,20220901,,20220909,20220824,,59.9857,0.5,0.1,,1.0,0.1,,沪深300成长指数收益率,L,被动指数型,契约型开放式,,20220909,20220909,E,562310.SH#FD
99,159651.SZ,国开0-3ETF,平安基金,平安银行,债券型,20220901,,20221116,20220815,,6.8266,0.15,0.05,,1.0,0.1,,中债-0-3年国开行债券指数收益率,L,被动指数型,契约型开放式,,20221116,20221116,E,159651.SZ#FD
100,513260.SH,恒生科技ETF基金,汇添富基金,招商银行,股票型,20220831,,20220913,20220527,,2.4324,0.15,0.05,,1.0,0.1,,经人民币汇率调整的恒生科技指数收益率,L,被动指数型,契约型开放式,,20220913,20220913,E,513260.SH#FD
101,159621.SZ,MSCIESGETF,国泰基金,中信银行,股票型,20220830,,20220909,20220524,,9.8943,0.5,0.1,,1.0,0.1,,MSCI中国A股人民币ESG通用指数(MSCI China A RMB ESG Universal Index)收益率,L,被动指数型,契约型开放式,,20220909,20220909,E,159621.SZ#FD
102,159650.SZ,国开ETF,博时基金,杭州银行,债券型,20220826,,20221028,20220801,,73.6986,0.15,0.05,,1.0,0.1,,中债-0-3年国开行债券指数收益率,L,被动指数型,契约型开放式,,20221028,20221028,E,159650.SZ#FD
103,508068.SH,华夏北京保障房REIT,华夏基金,中国建设银行,REITs,20220822,,20220831,20220816,,5.0,0.12,0.01,62.0,1.0,0.1,,,L,,契约型封闭式,,,,E,508068.SH#FD
104,508058.SH,中金厦门安居REIT,中金基金,兴业银行,REITs,20220822,,20220831,20220816,,5.0,0.19,0.01,65.0,1.0,0.1,,,L,,契约型封闭式,,,,E,508058.SH#FD
105,180501.SZ,红土创新深圳安居REIT,红土创新基金,招商银行,REITs,20220822,20880625,20220831,20220816,,5.0,0.2,0.01,66.0,1.0,0.1,,,L,,契约型封闭式,,,,E,180501.SZ#FD
106,159637.SZ,新能源车龙头ETF,西藏东财基金,广发证券,股票型,20220819,,20220901,20220801,,6.9677,0.5,0.05,,1.0,0.1,,中证新能源汽车指数收益率,L,被动指数型,契约型开放式,,20220901,20220901,E,159637.SZ#FD
107,511520.SH,政金债券ETF,富国基金,兴业银行,债券型,20220819,,20221025,20220803,,78.4865,0.15,0.05,,1.0,0.1,,中债7-10年政策性金融债指数收益率,L,被动指数型,契约型开放式,,20221025,20221025,E,511520.SH#FD
108,159631.SZ,中证100ETF招商,招商基金,中信证券,股票型,20220818,,20220826,20220801,,10.2533,0.5,0.1,,1.0,0.1,,中证100指数收益率,L,被动指数型,契约型开放式,,20220826,20220826,E,159631.SZ#FD
109,513290.SH,纳指生物科技ETF,汇添富基金,中国银行,股票型,20220815,,20220829,20220527,,2.8207,0.5,0.15,,1.0,0.1,,经人民币汇率调整的纳斯达克生物科技指数收益率,L,被动指数型,契约型开放式,,20220829,20220829,E,513290.SH#FD
110,159623.SZ,成渝经济圈ETF,博时基金,招商银行,股票型,20220815,,20220909,20220510,,36.8927,0.4,0.05,,1.0,0.1,,中证成渝地区双城经济圈成份指数收益率,L,被动指数型,契约型开放式,,20220909,20220909,E,159623.SZ#FD
111,159646.SZ,疫苗ETF基金,华泰柏瑞基金,中国建设银行,股票型,20220811,,20220822,20220721,,4.9071,0.5,0.1,,1.0,0.1,,国证疫苗与生物科技指数收益率,L,被动指数型,契约型开放式,,20220822,20220822,E,159646.SZ#FD
112,159643.SZ,疫苗ETF,国泰基金,杭州银行,股票型,20220810,,20220822,20220725,,3.9539,0.5,0.1,,1.0,0.1,,国证疫苗与生物科技指数收益率,L,被动指数型,契约型开放式,,20220822,20220822,E,159643.SZ#FD
113,159649.SZ,国开债ETF,华安基金,浦发银行,债券型,20220808,,20221024,20220801,,80.0017,0.15,0.05,,1.0,0.1,,中债-1-5年国开行债券指数收益率,L,被动指数型,契约型开放式,,20221024,20221024,E,159649.SZ#FD
